id,text,department,urgency,language,channel
T0024,Could you add Hindi language to the help centre articles? Customer id C91959.,Feedback / General,P3,en,email
T0025,"App open karte hi crash ho rahi hai, kuch kaam nahi ho raha.",Technical / App crash,P1,hinglish,app
T0026,FYI I updated my billing address. No issue otherwise. Customer id C57576. ok,Billing & Payments,P4,en,app
T0027,How do I download GST invoice for order 73699? Ticket for order follow-up.,Billing & Payments,P3,en,whatsapp
T0028,Help centre me Hindi articles add karo please. customer id C82063.,Feedback / General,P3,hinglish,whatsapp
T0029,"UPI fail hua lekin paise nahi aaye wapas, TXN80686 check karo. customer id C80686.",Billing & Payments,P2,hinglish,web
T0030,App crashes on launch since the last update. Completely unusable. Need update today.,Technical / App crash,P1,en,app
T0031,"KYC approved, thanks for the quick help. Customer id C12757. ??",Account / KYC / Login,P4,en,email
T0032,"Please explain the extra ₹2,050 convenience fee on last month's invoice. Need update today.",Billing & Payments,P3,en,web
T0033,ऑर्डर 73624 चार दिन से अटका हुआ है।,Product / Order / Delivery,P2,hi,whatsapp
T0034,"Refund aa gaya bhai, shukriya. Bas confirm kar raha hoon. bahut zaruri hai bhai.",Billing & Payments,P4,hinglish,whatsapp
T0035,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें।,Account / KYC / Login,P1,hi,app
T0036,"Order 95649 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya. kripya jaldi reply do.",Product / Order / Delivery,P1,hinglish,web
T0037,सेलर ऐप के बाहर पेमेंट मांग रहा है। फ्रॉड लग रहा है। कृपया जल्दी जवाब दें।,Abuse / Safety / Fraud,P2,hi,whatsapp
T0038,"मेरे खाते से ₹1,299 दो बार कट गया और सेवा अभी भी बंद है। तुरंत रिफंड चाहिए। ग्राहक आईडी C65296।",Billing & Payments,P1,hi,app
T0039,App crashes on launch since the last update. Completely unusable. Please help.,Technical / App crash,P1,en,app
T0040,How do I download GST invoice for order 40982?,Billing & Payments,P3,en,email
T0041,Could you add Hindi language to the help centre articles? Ticket for order follow-up.,Feedback / General,P3,en,whatsapp
T0042,Someone else logged into my account. Please freeze it now.,Account / KYC / Login,P1,en,whatsapp
T0043,बिल भरने पर पेमेंट फेल हो गया लेकिन पैसे कट गए। TXN34890 चेक करें। कृपया जल्दी जवाब दें।,Billing & Payments,P2,hi,app
T0044,A user threatened me in chat and shared my address. Unsafe. Please help.,Abuse / Safety / Fraud,P1,en,email
T0045,I cannot pay my bill. Card is declined every time I try checkout. Ticket for order follow-up. ??,Billing & Payments,P2,en,email
T0046,"Kisi aur ne mera account hack kar liya hai, turant band karo.",Account / KYC / Login,P1,hinglish,app
T0047,"Login nahi ho raha, OTP nahi aa raha hai. customer id C96163.",Account / KYC / Login,P2,hinglish,web
T0048,"Refund aa gaya bhai, shukriya. Bas confirm kar raha hoon. bahut zaruri hai bhai.",Billing & Payments,P4,hinglish,web
T0049,Checkout page spins forever on Android 14. Order cannot be placed. Please help.,Technical / App crash,P2,en,app
T0050,"Please explain the extra ₹1,299 convenience fee on last month's invoice. Raised via app chat.",Billing & Payments,P3,en,web
T0051,Just saying thanks to the support agent who helped yesterday. waiting since morning.,Feedback / General,P4,en,whatsapp
T0052,"Seller off-app payment maang raha hai, scam lag raha hai.",Abuse / Safety / Fraud,P2,hinglish,app
T0053,ऑर्डर 82692 चार दिन से अटका हुआ है। यह बहुत जरूरी है।,Product / Order / Delivery,P2,hi,email
T0054,Someone else logged into my account. Please freeze it now. Ticket for order follow-up.,Account / KYC / Login,P1,en,email
T0055,Delivery slot Saturday kar sakte ho kya order 54942 ka? customer id C54942.,Product / Order / Delivery,P3,hinglish,web
T0056,नया डैशबोर्ड अच्छा लगा। धन्यवाद।,Feedback / General,P4,hi,app
T0057,Payment was deducted twice for invoice 53719 and my account still shows overdue. Raised via app chat.,Billing & Payments,P1,en,whatsapp
T0058,Checkout pe app hang ho jati hai Android pe. kripya jaldi reply do. !!!,Technical / App crash,P2,hinglish,app
T0059,"Seller off-app payment maang raha hai, scam lag raha hai.",Abuse / Safety / Fraud,P2,hinglish,web
T0060,"लॉगिन नहीं हो रहा, OTP नहीं आ रहा है। कृपया जल्दी जवाब दें।",Account / KYC / Login,P2,hi,app
T0061,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें।,Account / KYC / Login,P1,hi,email
T0062,Could you add Hindi language to the help centre articles? pls,Feedback / General,P3,en,whatsapp
T0063,सेलर ऐप के बाहर पेमेंट मांग रहा है। फ्रॉड लग रहा है। ग्राहक आईडी C97806।,Abuse / Safety / Fraud,P2,hi,app
T0064,प्रोफाइल पर मोबाइल नंबर कैसे बदलें? कृपया जल्दी जवाब दें।,Account / KYC / Login,P3,hi,whatsapp
T0065,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें। कृपया जल्दी जवाब दें। !!!,Account / KYC / Login,P1,hi,whatsapp
T0066,"KYC approved, thanks for the quick help. Raised via app chat.",Account / KYC / Login,P4,en,whatsapp
T0067,"Order 80282 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya. kripya jaldi reply do.",Product / Order / Delivery,P1,hinglish,web
T0068,"रिफंड मिल गया, धन्यवाद। कोई और समस्या नहीं है। यह बहुत जरूरी है।",Billing & Payments,P4,hi,whatsapp
T0069,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें।,Account / KYC / Login,P1,hi,app
T0070,प्रोफाइल पर मोबाइल नंबर कैसे बदलें? ग्राहक आईडी C85574। urgent,Account / KYC / Login,P3,hi,app
T0071,पेमेंट स्क्रीन पर ऐप हैंग हो जाती है। ग्राहक आईडी C80575।,Technical / App crash,P2,hi,web
T0072,Can I change the delivery slot for order 51145 to Saturday? Raised via app chat.,Product / Order / Delivery,P3,en,whatsapp
T0073,How do I change the registered mobile number on my profile? Ticket for order follow-up.,Account / KYC / Login,P3,en,whatsapp
T0074,"Order 32810 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya.",Product / Order / Delivery,P1,hinglish,app
T0075,PAN upload keeps failing and I am locked out of the dashboard.,Account / KYC / Login,P2,en,web
T0076,Checkout page spins forever on Android 14. Order cannot be placed. Customer id C67905.,Technical / App crash,P2,en,email
T0077,ऑर्डर 21114 चार दिन से अटका हुआ है।,Product / Order / Delivery,P2,hi,web
T0078,How do I download GST invoice for order 40784? Customer id C40784.,Billing & Payments,P3,en,email
T0079,"Charged ₹1,299 but the service is completely down. Need an immediate refund.",Billing & Payments,P1,en,app
T0080,Checkout page spins forever on Android 14. Order cannot be placed.,Technical / App crash,P2,en,email
T0081,बिल भरने पर पेमेंट फेल हो गया लेकिन पैसे कट गए। TXN95990 चेक करें। यह बहुत जरूरी है।,Billing & Payments,P2,hi,email
T0082,"रिफंड मिल गया, धन्यवाद। कोई और समस्या नहीं है। यह बहुत जरूरी है।",Billing & Payments,P4,hi,app
T0083,Checkout page spins forever on Android 14. Order cannot be placed. waiting since morning.,Technical / App crash,P2,en,whatsapp
T0084,Can I change the delivery slot for order 76162 to Saturday?,Product / Order / Delivery,P3,en,whatsapp
T0085,App crashes on launch since the last update. Completely unusable. Raised via app chat.,Technical / App crash,P1,en,whatsapp
T0086,Order 41358 arrived in good condition. Thank you. pls,Product / Order / Delivery,P4,en,email
T0087,I did not request this password reset. Possible account takeover. Need update today.,Account / KYC / Login,P1,en,email
T0088,प्रोफाइल पर मोबाइल नंबर कैसे बदलें? यह बहुत जरूरी है।,Account / KYC / Login,P3,hi,web
T0089,"App open karte hi crash ho rahi hai, kuch kaam nahi ho raha. kripya jaldi reply do.",Technical / App crash,P1,hinglish,whatsapp
T0090,प्रोफाइल पर मोबाइल नंबर कैसे बदलें?,Account / KYC / Login,P3,hi,app
T0091,Help centre me Hindi articles add karo please.,Feedback / General,P3,hinglish,whatsapp
T0092,"App open karte hi crash ho rahi hai, kuch kaam nahi ho raha.",Technical / App crash,P1,hinglish,whatsapp
T0093,The new search is nicer. Small suggestion: remember last filter. waiting since morning.,Technical / App crash,P4,en,whatsapp
T0094,Phishing SMS used your brand. They asked for OTP. Please investigate. Ticket for order follow-up.,Abuse / Safety / Fraud,P1,en,app
T0095,हेल्प सेंटर में हिंदी लेख जोड़िए। यह बहुत जरूरी है।,Feedback / General,P3,hi,email
T0096,Could you add Hindi language to the help centre articles? Please help.,Feedback / General,P3,en,web
T0097,"UPI fail hua lekin paise nahi aaye wapas, TXN69598 check karo. customer id C69598.",Billing & Payments,P2,hinglish,whatsapp
T0098,I did not request this password reset. Possible account takeover. Need update today.,Account / KYC / Login,P1,en,app
T0099,Help centre me Hindi articles add karo please. kripya jaldi reply do.,Feedback / General,P3,hinglish,app
T0100,Seller listing looks fake. They asked me to pay off-app. Customer id C14067.,Abuse / Safety / Fraud,P2,en,email
T0101,"Refund aa gaya bhai, shukriya. Bas confirm kar raha hoon. kripya jaldi reply do.",Billing & Payments,P4,hinglish,email
T0102,Checkout page spins forever on Android 14. Order cannot be placed. Ticket for order follow-up.,Technical / App crash,P2,en,app
T0103,I want to report spam messages in the in-app inbox. Need update today.,Abuse / Safety / Fraud,P3,en,web
T0104,"Settings page slow hai, 5 second lagata hai load hone me.",Technical / App crash,P3,hinglish,email
T0105,"Please explain the extra ₹1,299 convenience fee on last month's invoice. Need update today.",Billing & Payments,P3,en,web
T0106,Love the new dashboard. Keep it up. Please help.,Feedback / General,P4,en,whatsapp
T0107,ऑर्डर 58571 चार दिन से अटका हुआ है।,Product / Order / Delivery,P2,hi,app
T0108,Love the new dashboard. Keep it up. Need update today.,Feedback / General,P4,en,web
T0109,Order 70258 arrived in good condition. Thank you.,Product / Order / Delivery,P4,en,web
T0110,Can I change the delivery slot for order 80539 to Saturday?,Product / Order / Delivery,P3,en,web
T0111,How do I change the registered mobile number on my profile? Raised via app chat.,Account / KYC / Login,P3,en,email
T0112,Seller listing looks fake. They asked me to pay off-app. waiting since morning. pls,Abuse / Safety / Fraud,P2,en,email
T0113,The new search is nicer. Small suggestion: remember last filter. Raised via app chat.,Technical / App crash,P4,en,web
T0114,Checkout pe app hang ho jati hai Android pe. kripya jaldi reply do.,Technical / App crash,P2,hinglish,whatsapp
T0115,The new search is nicer. Small suggestion: remember last filter.,Technical / App crash,P4,en,whatsapp
T0116,App crashes on launch since the last update. Completely unusable. Raised via app chat.,Technical / App crash,P1,en,email
T0117,PAN upload keeps failing and I am locked out of the dashboard.,Account / KYC / Login,P2,en,web
T0118,Registered number kaise change karein profile me? customer id C82140.,Account / KYC / Login,P3,hinglish,web
T0119,PAN upload keeps failing and I am locked out of the dashboard. Need update today.,Account / KYC / Login,P2,en,web
T0120,FYI I updated my billing address. No issue otherwise. Customer id C80236.,Billing & Payments,P4,en,whatsapp
T0121,I did not request this password reset. Possible account takeover. Need update today.,Account / KYC / Login,P1,en,web
T0122,"Last bill me extra ₹1,299 kyun add kiya, samjhao. customer id C57301. ok",Billing & Payments,P3,hinglish,email
T0123,I did not request this password reset. Possible account takeover. Raised via app chat.,Account / KYC / Login,P1,en,email
T0124,Order 74340 arrived in good condition. Thank you. Please help.,Product / Order / Delivery,P4,en,whatsapp
T0125,Dark mode contrast is too low on the settings screen. Ticket for order follow-up.,Technical / App crash,P3,en,web
T0126,Help centre me Hindi articles add karo please. kripya jaldi reply do.,Feedback / General,P3,hinglish,app
T0127,"Settings page slow hai, 5 second lagata hai load hone me. bahut zaruri hai bhai.",Technical / App crash,P3,hinglish,web
T0128,How do I download GST invoice for order 42530?,Billing & Payments,P3,en,email
T0129,I want to report spam messages in the in-app inbox.,Abuse / Safety / Fraud,P3,en,web
T0130,Could you add Hindi language to the help centre articles? Raised via app chat.,Feedback / General,P3,en,app
T0131,Can I change the delivery slot for order 23006 to Saturday? Customer id C23006.,Product / Order / Delivery,P3,en,app
T0132,"पिछले बिल में अतिरिक्त शुल्क ₹1,299 क्यों लगाया गया? ??",Billing & Payments,P3,hi,whatsapp
T0133,App crashes on launch since the last update. Completely unusable. Raised via app chat. pls,Technical / App crash,P1,en,web
T0134,"Mera order nahi aaya, tracking 4 din se same hai. bahut zaruri hai bhai.",Product / Order / Delivery,P2,hinglish,email
T0135,Registered number kaise change karein profile me? bahut zaruri hai bhai.,Account / KYC / Login,P3,hinglish,email
T0136,"Please explain the extra ₹1,299 convenience fee on last month's invoice. Raised via app chat.",Billing & Payments,P3,en,web
T0137,App crashes on launch since the last update. Completely unusable. Raised via app chat.,Technical / App crash,P1,en,web
T0138,ऐप खुलते ही क्रैश हो जाती है। बिल्कुल काम नहीं कर रही।,Technical / App crash,P1,hi,app
T0139,Just saying thanks to the support agent who helped yesterday. Raised via app chat. !!!,Feedback / General,P4,en,app
T0140,Seller listing looks fake. They asked me to pay off-app. Please help.,Abuse / Safety / Fraud,P2,en,email
T0141,Dark mode contrast is too low on the settings screen. Raised via app chat.,Technical / App crash,P3,en,whatsapp
T0142,Order 74451 arrived in good condition. Thank you.,Product / Order / Delivery,P4,en,web
T0143,How do I change the registered mobile number on my profile? Ticket for order follow-up.,Account / KYC / Login,P3,en,whatsapp
T0144,Cannot login after KYC update. OTP never arrives. Please help.,Account / KYC / Login,P2,en,web
T0145,Someone else logged into my account. Please freeze it now.,Account / KYC / Login,P1,en,app
T0146,ऑर्डर 81118 चार दिन से अटका हुआ है। ok,Product / Order / Delivery,P2,hi,web
T0147,Can I change the delivery slot for order 75338 to Saturday? Please help.,Product / Order / Delivery,P3,en,email
T0148,"Naya dashboard bahut accha hai, shukriya.",Feedback / General,P4,hinglish,email
T0149,Delivery slot Saturday kar sakte ho kya order 30758 ka? urgent,Product / Order / Delivery,P3,hinglish,app
T0150,"Last bill me extra ₹89 kyun add kiya, samjhao. kripya jaldi reply do.",Billing & Payments,P3,hinglish,email
T0151,The new search is nicer. Small suggestion: remember last filter.,Technical / App crash,P4,en,whatsapp
T0152,"Refund aa gaya bhai, shukriya. Bas confirm kar raha hoon.",Billing & Payments,P4,hinglish,email
T0153,Could you add Hindi language to the help centre articles?,Feedback / General,P3,en,web
T0154,"Fake call aa rahi hai OTP mang rahe hain, yeh fraud hai jaldi dekho. customer id C10336.",Abuse / Safety / Fraud,P1,hinglish,whatsapp
T0155,Could you add Hindi language to the help centre articles?,Feedback / General,P3,en,whatsapp
T0156,Checkout page spins forever on Android 14. Order cannot be placed. Customer id C52176.,Technical / App crash,P2,en,email
T0157,Love the new dashboard. Keep it up. waiting since morning.,Feedback / General,P4,en,whatsapp
T0158,प्रोफाइल पर मोबाइल नंबर कैसे बदलें?,Account / KYC / Login,P3,hi,email
T0159,ऐप खुलते ही क्रैश हो जाती है। बिल्कुल काम नहीं कर रही। यह बहुत जरूरी है।,Technical / App crash,P1,hi,whatsapp
T0160,"Thanks, the refund for invoice 78937 arrived. Just confirming. Please help.",Billing & Payments,P4,en,whatsapp
T0161,Could you add Hindi language to the help centre articles? Need update today.,Feedback / General,P3,en,web
T0162,"KYC approved, thanks for the quick help. Need update today.",Account / KYC / Login,P4,en,whatsapp
T0163,How do I change the registered mobile number on my profile? Please help.,Account / KYC / Login,P3,en,email
T0164,Order 99705 arrived in good condition. Thank you. Customer id C99705.,Product / Order / Delivery,P4,en,whatsapp
T0165,"Thanks, the refund for invoice 93066 arrived. Just confirming.",Billing & Payments,P4,en,web
T0166,नया डैशबोर्ड अच्छा लगा। धन्यवाद। ग्राहक आईडी C13794।,Feedback / General,P4,hi,web
T0167,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें। कृपया जल्दी जवाब दें।,Account / KYC / Login,P1,hi,whatsapp
T0168,"Settings page slow hai, 5 second lagata hai load hone me. bahut zaruri hai bhai.",Technical / App crash,P3,hinglish,whatsapp
T0169,Can I change the delivery slot for order 99539 to Saturday?,Product / Order / Delivery,P3,en,email
T0170,"Last bill me extra ₹2,050 kyun add kiya, samjhao.",Billing & Payments,P3,hinglish,app
T0171,नया डैशबोर्ड अच्छा लगा। धन्यवाद।,Feedback / General,P4,hi,whatsapp
T0172,Help centre me Hindi articles add karo please.,Feedback / General,P3,hinglish,whatsapp
T0173,Love the new dashboard. Keep it up.,Feedback / General,P4,en,app
T0174,"Refund aa gaya bhai, shukriya. Bas confirm kar raha hoon.",Billing & Payments,P4,hinglish,web
T0175,Charged ₹89 but the service is completely down. Need an immediate refund. Raised via app chat. ??,Billing & Payments,P1,en,whatsapp
T0176,"Seller off-app payment maang raha hai, scam lag raha hai.",Abuse / Safety / Fraud,P2,hinglish,email
T0177,Order 34920 arrived in good condition. Thank you. Ticket for order follow-up.,Product / Order / Delivery,P4,en,app
T0178,PAN upload keeps failing and I am locked out of the dashboard. waiting since morning.,Account / KYC / Login,P2,en,app
T0179,हेल्प सेंटर में हिंदी लेख जोड़िए।,Feedback / General,P3,hi,email
T0180,"फेक कॉल आ रही है, OTP मांग रहे हैं आपके नाम से। धोखाधड़ी है।",Abuse / Safety / Fraud,P1,hi,web
T0181,"Seller off-app payment maang raha hai, scam lag raha hai.",Abuse / Safety / Fraud,P2,hinglish,web
T0182,A user threatened me in chat and shared my address. Unsafe.,Abuse / Safety / Fraud,P1,en,email
T0183,Seller listing looks fake. They asked me to pay off-app. waiting since morning.,Abuse / Safety / Fraud,P2,en,whatsapp
T0184,Payment was deducted twice for invoice 44663 and my account still shows overdue.,Billing & Payments,P1,en,web
T0185,Paid order 59941 marked delivered but nothing arrived. This is urgent. Need update today.,Product / Order / Delivery,P1,en,whatsapp
T0186,"Charged ₹2,050 but the service is completely down. Need an immediate refund. Customer id C91205.",Billing & Payments,P1,en,whatsapp
T0187,हेल्प सेंटर में हिंदी लेख जोड़िए। यह बहुत जरूरी है।,Feedback / General,P3,hi,app
T0188,PAN upload keeps failing and I am locked out of the dashboard. Need update today.,Account / KYC / Login,P2,en,email
T0189,प्रोफाइल पर मोबाइल नंबर कैसे बदलें?,Account / KYC / Login,P3,hi,email
T0190,Just saying thanks to the support agent who helped yesterday.,Feedback / General,P4,en,web
T0191,"UPI payment failed yet ₹1,299 left my bank. Transaction id TXN58566.",Billing & Payments,P2,en,email
T0192,Love the new dashboard. Keep it up. waiting since morning.,Feedback / General,P4,en,web
T0193,I cannot pay my bill. Card is declined every time I try checkout. Customer id C62184.,Billing & Payments,P2,en,whatsapp
T0194,How do I download GST invoice for order 96870? Please help. pls,Billing & Payments,P3,en,email
T0195,"मेरे खाते से ₹1,299 दो बार कट गया और सेवा अभी भी बंद है। तुरंत रिफंड चाहिए। यह बहुत जरूरी है।",Billing & Payments,P1,hi,email
T0196,Paid order 38305 marked delivered but nothing arrived. This is urgent. waiting since morning.,Product / Order / Delivery,P1,en,app
T0197,I did not request this password reset. Possible account takeover. Raised via app chat.,Account / KYC / Login,P1,en,app
T0198,ऑर्डर 13379 चार दिन से अटका हुआ है। यह बहुत जरूरी है।,Product / Order / Delivery,P2,hi,email
T0199,Paid order 52437 marked delivered but nothing arrived. This is urgent. Ticket for order follow-up.,Product / Order / Delivery,P1,en,email
T0200,A user threatened me in chat and shared my address. Unsafe. Need update today.,Abuse / Safety / Fraud,P1,en,web
T0201,ऐप खुलते ही क्रैश हो जाती है। बिल्कुल काम नहीं कर रही।,Technical / App crash,P1,hi,app
T0202,Phishing SMS used your brand. They asked for OTP. Please investigate.,Abuse / Safety / Fraud,P1,en,app
T0203,I cannot pay my bill. Card is declined every time I try checkout.,Billing & Payments,P2,en,whatsapp
T0204,Delivery slot Saturday kar sakte ho kya order 68138 ka? kripya jaldi reply do.,Product / Order / Delivery,P3,hinglish,email
T0205,"Please explain the extra ₹2,050 convenience fee on last month's invoice. waiting since morning.",Billing & Payments,P3,en,web
T0206,Checkout page spins forever on Android 14. Order cannot be placed. Need update today.,Technical / App crash,P2,en,app
T0207,Love the new dashboard. Keep it up.,Feedback / General,P4,en,email
T0208,"Login nahi ho raha, OTP nahi aa raha hai.",Account / KYC / Login,P2,hinglish,app
T0209,How do I change the registered mobile number on my profile? Raised via app chat.,Account / KYC / Login,P3,en,email
T0210,"Order 72163 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya. kripya jaldi reply do.",Product / Order / Delivery,P1,hinglish,app
T0211,Registered number kaise change karein profile me? bahut zaruri hai bhai.,Account / KYC / Login,P3,hinglish,web
T0212,ऑर्डर 26021 चार दिन से अटका हुआ है। ग्राहक आईडी C26021।,Product / Order / Delivery,P2,hi,whatsapp
T0213,Could you add Hindi language to the help centre articles? Raised via app chat.,Feedback / General,P3,en,email
T0214,बिल भरने पर पेमेंट फेल हो गया लेकिन पैसे कट गए। TXN96079 चेक करें। कृपया जल्दी जवाब दें।,Billing & Payments,P2,hi,web
T0215,Love the new dashboard. Keep it up. Need update today.,Feedback / General,P4,en,email
T0216,सेलर ऐप के बाहर पेमेंट मांग रहा है। फ्रॉड लग रहा है।,Abuse / Safety / Fraud,P2,hi,web
T0217,"Charged ₹2,050 but the service is completely down. Need an immediate refund. Raised via app chat.",Billing & Payments,P1,en,web
T0218,Payment was deducted twice for invoice 33777 and my account still shows overdue. ??,Billing & Payments,P1,en,app
T0219,A user threatened me in chat and shared my address. Unsafe.,Abuse / Safety / Fraud,P1,en,web
T0220,"पिछले बिल में अतिरिक्त शुल्क ₹2,050 क्यों लगाया गया? ग्राहक आईडी C58503।",Billing & Payments,P3,hi,app
T0221,Just saying thanks to the support agent who helped yesterday. Ticket for order follow-up.,Feedback / General,P4,en,app
T0222,"Order 20693 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya.",Product / Order / Delivery,P1,hinglish,whatsapp
T0223,Order 67939 is 4 days late. Tracking has not moved. Raised via app chat.,Product / Order / Delivery,P2,en,app
T0224,मेरे अकाउंट में कोई और लॉगिन कर रहा है। तुरंत बंद करें। ग्राहक आईडी C66349।,Account / KYC / Login,P1,hi,whatsapp
T0225,पेमेंट स्क्रीन पर ऐप हैंग हो जाती है। यह बहुत जरूरी है।,Technical / App crash,P2,hi,app
T0226,Payment was deducted twice for invoice 36794 and my account still shows overdue. Customer id C36794.,Billing & Payments,P1,en,web
T0227,Cannot login after KYC update. OTP never arrives. Please help.,Account / KYC / Login,P2,en,whatsapp
T0228,"रिफंड मिल गया, धन्यवाद। कोई और समस्या नहीं है।",Billing & Payments,P4,hi,web
T0229,Please explain the extra ₹499 convenience fee on last month's invoice. ??,Billing & Payments,P3,en,web
T0230,"Settings page slow hai, 5 second lagata hai load hone me.",Technical / App crash,P3,hinglish,whatsapp
T0231,"Charged ₹1,299 but the service is completely down. Need an immediate refund.",Billing & Payments,P1,en,web
T0232,How do I download GST invoice for order 67240? Customer id C67240.,Billing & Payments,P3,en,whatsapp
T0233,पेमेंट स्क्रीन पर ऐप हैंग हो जाती है। ग्राहक आईडी C20308।,Technical / App crash,P2,hi,email
T0234,"KYC approved, thanks for the quick help. Need update today.",Account / KYC / Login,P4,en,email
T0235,नया डैशबोर्ड अच्छा लगा। धन्यवाद। कृपया जल्दी जवाब दें।,Feedback / General,P4,hi,email
T0236,Someone else logged into my account. Please freeze it now. Ticket for order follow-up.,Account / KYC / Login,P1,en,app
T0237,"रिफंड मिल गया, धन्यवाद। कोई और समस्या नहीं है।",Billing & Payments,P4,hi,whatsapp
T0238,"Order 83989 delivered dikha raha hai lekin saman nahi aaya, payment kat gaya. customer id C83989.",Product / Order / Delivery,P1,hinglish,app
T0239,Dark mode contrast is too low on the settings screen. Raised via app chat.,Technical / App crash,P3,en,web
T0240,ऐप खुलते ही क्रैश हो जाती है। बिल्कुल काम नहीं कर रही।,Technical / App crash,P1,hi,app
T0241,"लॉगिन नहीं हो रहा, OTP नहीं आ रहा है। यह बहुत जरूरी है।",Account / KYC / Login,P2,hi,whatsapp
T0242,Checkout page spins forever on Android 14. Order cannot be placed.,Technical / App crash,P2,en,email
T0243,How do I change the registered mobile number on my profile? Ticket for order follow-up.,Account / KYC / Login,P3,en,whatsapp
T0244,"Thanks, the refund for invoice 55015 arrived. Just confirming. Ticket for order follow-up. urgent",Billing & Payments,P4,en,whatsapp
T0245,पेमेंट स्क्रीन पर ऐप हैंग हो जाती है। ग्राहक आईडी C78517।,Technical / App crash,P2,hi,web
T0246,प्रोफाइल पर मोबाइल नंबर कैसे बदलें? pls,Account / KYC / Login,P3,hi,app
T0247,"KYC approved, thanks for the quick help. Raised via app chat.",Account / KYC / Login,P4,en,email
T0248,"KYC approved, thanks for the quick help. waiting since morning.",Account / KYC / Login,P4,en,whatsapp
T0249,मेरे खाते से ₹499 दो बार कट गया और सेवा अभी भी बंद है। तुरंत रिफंड चाहिए। ग्राहक आईडी C87993।,Billing & Payments,P1,hi,web
T0250,"Fake call aa rahi hai OTP mang rahe hain, yeh fraud hai jaldi dekho.",Abuse / Safety / Fraud,P1,hinglish,app
T0251,"लॉगिन नहीं हो रहा, OTP नहीं आ रहा है। कृपया जल्दी जवाब दें।",Account / KYC / Login,P2,hi,whatsapp
T0252,"Mera payment do baar kat gaya hai aur service abhi bhi down hai, jaldi refund do. bahut zaruri hai bhai. ??",Billing & Payments,P1,hinglish,app
T0253,ऑर्डर 54140 चार दिन से अटका हुआ है।,Product / Order / Delivery,P2,hi,email
T0254,"रिफंड मिल गया, धन्यवाद। कोई और समस्या नहीं है। pls",Billing & Payments,P4,hi,email
T0255,App crashes on launch since the last update. Completely unusable.,Technical / App crash,P1,en,email
